,epsilon_progress,nfe
0,0,0
1,30,100
2,529,1195
3,1007,2288
4,1400,3384
5,1663,4482
6,1867,5575
7,2010,6668
8,2133,7764
9,2198,8859
10,2289,9953
11,2335,11406
12,2382,12862
13,2410,14324
14,2427,15777
15,2461,17238
16,2477,18696
17,2534,20149
18,2574,21605
19,2592,23062
20,2603,24516
21,2614,25975
22,2625,27429
23,2651,28881
24,2657,30343
25,2691,31800
26,2705,33261
27,2724,34720
28,2763,36174
29,2773,37630
30,2778,39088
31,2805,40548
32,2809,42006
33,2817,43462
34,2820,44921
35,2852,46372
36,2858,47823
37,2879,49281
38,2894,50728
39,2895,52180
40,2895,53626
41,2905,55077
42,2907,56530
43,2914,57983
44,2941,59269
45,2949,60875
46,2952,62485
47,2953,64094
48,2956,65702
49,2956,67309
50,2976,68918
51,2994,70522
52,2996,72123
53,3001,73732
54,3004,75343
55,3020,76947
56,3022,78554
57,3023,80154
58,3024,81762
59,3028,83362
60,3032,84969
61,3035,86575
62,3039,88181
63,3043,89777
64,3048,91378
65,3051,92984
66,3052,94588
67,3053,96192
68,3057,97797
69,3059,99400
70,3060,100205
